순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김명찬	KIA	0.00	3	0	0	0	0	-	4	4	0	1	1	2	0	0	1.25
2	김준	KIA	2.08	6	0	0	0	0	-	4.3	6	0	2	0	1	2	1	1.85
3	양현종	KIA	2.44	32	15	6	0	1	0.714	184.3	150	18	78	7	157	52	50	1.24
4	최영필	KIA	2.86	59	5	2	0	10	0.714	63	57	8	8	2	51	23	20	1.03
5	윤석민	KIA	2.96	51	2	6	30	0	0.250	70	69	4	24	2	68	23	23	1.33
6	한기주	KIA	3.24	7	0	0	0	0	-	8.3	11	0	5	0	4	4	3	1.92
7	김진우	KIA	3.46	4	1	0	0	1	1.000	13	12	1	9	1	12	5	5	1.62
8	임준혁	KIA	4.10	27	9	6	0	2	0.600	118.6	125	11	43	8	73	58	54	1.42
9	에반	KIA	4.44	16	4	0	0	4	1.000	26.3	30	0	13	1	25	15	13	1.63
10	김광수	KIA	4.53	41	4	4	0	9	0.500	43.6	53	2	13	2	22	24	22	1.51
11	서재응	KIA	4.95	9	1	4	0	0	0.200	40	52	5	8	5	16	23	22	1.50
12	스틴슨	KIA	4.96	32	11	10	0	0	0.524	167	190	15	64	14	93	100	92	1.52
13	심동섭	KIA	5.02	69	3	1	1	21	0.750	57.3	47	7	43	3	71	35	32	1.57
14	김태영	KIA	5.19	27	0	2	0	4	0.000	26	36	3	8	4	30	16	15	1.69
15	한승혁	KIA	5.46	49	2	6	0	6	0.250	56	55	7	36	1	56	36	34	1.63
16	박정수	KIA	5.53	19	0	3	0	0	0.000	42.3	47	4	19	6	25	31	26	1.56
17	홍건희	KIA	6.04	38	2	5	1	0	0.286	82	84	18	57	4	86	63	55	1.72
18	박준표	KIA	6.26	37	2	2	0	3	0.500	46	54	4	11	5	33	32	32	1.41
19	임기준	KIA	6.62	17	1	3	0	0	0.250	34	39	4	27	12	26	32	25	1.94
20	험버	KIA	6.75	12	3	3	0	0	0.500	50.6	62	11	32	5	35	38	38	1.86
21	김병현	KIA	6.98	23	0	5	0	2	0.000	49	67	7	18	11	38	38	38	1.73
22	유창식	KIA	7.90	27	0	8	0	0	0.000	54.6	67	9	40	3	34	53	48	1.96
23	신창호	KIA	7.94	5	0	0	0	0	-	5.6	4	1	4	0	4	5	5	1.41
24	문경찬	KIA	9.76	8	1	3	0	0	0.250	27.6	44	7	10	1	15	32	30	1.95
25	이종석	KIA	15.75	2	0	0	0	0	-	4	10	2	2	0	3	8	7	3.00
