순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	조무근	KT	1.88	43	8	5	4	2	0.615	71.6	54	3	32	4	83	26	15	1.20
2	최원재	KT	3.82	36	2	1	0	3	0.667	33	43	2	12	3	24	16	14	1.67
3	홍성용	KT	3.86	42	0	4	0	10	0.000	39.6	39	3	13	6	31	19	17	1.31
4	장시환	KT	3.98	47	7	5	12	0	0.583	74.6	73	1	28	1	75	33	33	1.35
5	김재윤	KT	4.23	42	1	2	0	6	0.333	44.6	46	3	12	1	70	23	21	1.30
6	옥스프링	KT	4.48	31	12	10	0	0	0.545	185	200	23	66	10	142	104	92	1.44
7	홍성무	KT	4.82	23	0	1	0	0	0.000	28	31	5	9	1	22	15	15	1.43
8	저마노	KT	4.93	15	3	6	0	1	0.333	76.6	111	7	15	3	40	46	42	1.64
9	안상빈	KT	5.06	13	0	0	0	0	-	16	23	1	12	1	25	13	9	2.19
10	정대현	KT	5.19	30	5	11	0	0	0.313	118	138	19	62	4	82	80	68	1.69
11	배우열	KT	5.63	12	0	0	0	1	-	16	21	2	4	0	17	10	10	1.56
11	윤근영	KT	5.63	17	1	4	0	2	0.200	32	35	3	21	4	21	23	20	1.75
13	고영표	KT	5.68	46	3	4	0	0	0.429	57	68	2	19	16	57	41	36	1.53
14	김민수	KT	5.79	15	0	1	0	1	0.000	23.3	30	1	13	1	18	18	15	1.84
15	김기표	KT	6.10	14	0	0	0	0	-	10.3	11	2	2	1	6	7	7	1.26
16	시스코	KT	6.23	17	0	6	0	2	0.000	39	43	5	25	4	42	34	27	1.74
17	엄상백	KT	6.66	28	5	6	0	0	0.455	100	127	15	50	10	78	77	74	1.77
18	이창재	KT	6.82	38	0	1	0	3	0.000	33	38	8	12	2	32	30	25	1.52
19	심재민	KT	6.87	50	2	3	0	1	0.400	56.3	68	3	41	7	29	45	43	1.93
20	황덕균	KT	7.36	3	0	0	0	0	-	3.6	0	0	5	0	2	3	3	1.36
21	김사율	KT	8.06	21	0	0	0	0	-	25.6	40	4	11	2	24	28	23	1.99
22	주권	KT	8.51	15	0	2	0	0	0.000	24.3	43	6	9	2	13	26	23	2.14
23	정성곤	KT	8.53	20	2	6	0	0	0.250	58	81	12	51	1	41	58	55	2.28
24	어윈	KT	8.68	12	1	7	0	0	0.125	56	90	10	21	2	41	57	54	1.98
25	최대성	KT	13.50	8	0	0	0	0	-	2.6	4	1	7	0	0	4	4	4.13
26	이윤학	KT	24.00	2	0	0	0	0	-	3	9	2	2	0	4	8	8	3.67
