순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박진형	롯데	0.00	2	0	0	0	0	-	1.3	2	0	0	0	1	0	0	1.50
1	차재용	롯데	0.00	2	0	0	0	0	-	1.3	0	0	1	0	0	2	0	0.75
3	정대현	롯데	2.95	19	2	1	3	3	0.667	18.3	16	3	7	2	17	6	6	1.25
4	린드블럼	롯데	3.56	32	13	11	0	0	0.542	210	196	28	52	12	180	86	83	1.18
5	레일리	롯데	3.91	31	11	9	0	0	0.550	179.3	182	20	57	15	134	93	78	1.33
6	홍성민	롯데	3.95	67	4	4	1	8	0.500	82	85	8	24	10	65	38	36	1.33
7	강영식	롯데	4.19	50	2	1	2	6	0.667	38.6	40	6	10	0	46	21	18	1.29
8	조현우	롯데	4.50	3	0	0	0	0	-	4	3	2	1	0	4	3	2	1.00
9	이성민	롯데	4.58	61	5	7	4	7	0.417	72.6	92	11	33	4	58	44	37	1.72
10	송승준	롯데	4.75	25	8	7	0	0	0.533	125	131	17	46	4	112	71	66	1.42
11	이명우	롯데	5.64	59	2	1	0	6	0.667	59	78	5	20	2	34	44	37	1.66
12	김원중	롯데	5.75	15	0	0	0	1	-	20.3	21	1	15	3	20	15	13	1.77
13	박세웅	롯데	5.76	31	2	11	0	0	0.154	114	129	16	54	12	82	81	73	1.61
14	이정민	롯데	5.84	34	1	4	1	5	0.200	44.6	59	4	31	2	36	34	29	2.01
15	심수창	롯데	6.01	39	4	6	5	3	0.400	73.3	99	9	29	3	76	56	49	1.75
16	이재곤	롯데	6.23	5	0	2	0	0	0.000	13	15	1	18	4	9	10	9	2.54
17	김승회	롯데	6.24	39	7	3	2	2	0.700	75	96	13	28	4	50	52	52	1.65
18	이상화	롯데	6.55	14	3	8	0	0	0.273	55	69	7	25	1	35	43	40	1.71
19	배장호	롯데	6.59	9	0	2	0	0	0.000	28.6	35	5	10	5	9	21	21	1.57
20	심규범	롯데	7.11	16	0	1	0	1	0.000	6.3	7	1	6	0	6	5	5	2.05
20	정재훈	롯데	7.11	10	0	0	0	0	-	6.3	16	1	6	0	5	8	5	3.47
22	김성배	롯데	7.71	45	2	3	1	5	0.400	39.6	51	2	19	2	33	34	34	1.76
23	이인복	롯데	10.18	9	0	0	0	0	-	20.3	36	4	8	2	9	25	23	2.16
24	구승민	롯데	10.24	11	0	2	0	0	0.000	29	46	9	9	2	20	33	33	1.90
25	이경우	롯데	10.80	1	0	0	0	0	-	1.6	2	1	1	0	0	2	2	1.80
26	허준혁	롯데	21.60	3	0	0	0	0	-	1.6	6	0	0	0	0	5	4	3.60
